event_time_utc,event_type,trade_id,symbol,source,timeframe,session,raw_direction,final_direction,candle_time,entry_price,sl_price,tp1_price,tp2_price,notional_usd,leverage,margin_usd,adx_value,lot,exit_reason,exit_price,pnl,balance_after
2026-09-07T02:46:43.547539+00:00,lot_close,25,CRVUSDT,Supertrend+ADX,15m,,,short,2026-09-01 19:15:00,,,,,,1.0,50.0,,lot_a,sl,0.3969500793913376,-3.1677,1050.739
2026-09-07T02:46:43.892980+00:00,lot_close,25,CRVUSDT,Supertrend+ADX,15m,,,short,2026-09-01 19:15:00,,,,,,1.0,50.0,,lot_b,sl,0.3969500793913376,-3.1677,1047.5713
2026-09-07T02:46:44.228459+00:00,full_close,25,CRVUSDT,Supertrend+ADX,15m,,,short,2026-09-01 19:15:00,,,,,,,,,,,,,1047.5713
2026-09-07T04:01:20.768904+00:00,lot_close,160,BNBUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,,,,,3.0,50.0,,lot_a,tp1,744.9932548984436,1.4825,1049.0538
2026-09-07T04:01:21.108322+00:00,sl_to_be,160,BNBUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,752.43,,,,,,,,,,,
2026-09-07T07:01:21.297948+00:00,lot_close,53,ONEUSDT,Supertrend+ADX,15m,,,long,2026-09-02 12:45:00,,,,,,1.0,50.0,,lot_a,sl,0.0007375188405027251,-1.2867,1047.7671
2026-09-07T07:01:21.600210+00:00,lot_close,53,ONEUSDT,Supertrend+ADX,15m,,,long,2026-09-02 12:45:00,,,,,,1.0,50.0,,lot_b,sl,0.0007375188405027251,-1.2867,1046.4803
2026-09-07T07:01:21.914920+00:00,full_close,53,ONEUSDT,Supertrend+ADX,15m,,,long,2026-09-02 12:45:00,,,,,,,,,,,,,1046.4803
2026-09-07T07:45:56.697597+00:00,lot_close,162,SOLUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-07 02:30:00,,,,,,3.0,50.0,,lot_a,tp1,104.22871387561747,3.5976,1050.078
2026-09-07T07:45:57.156008+00:00,sl_to_be,162,SOLUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-07 02:30:00,,106.79,,,,,,,,,,,
2026-09-07T07:46:02.004378+00:00,lot_close,161,CHZUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 22:45:00,,,,,,3.0,50.0,,lot_a,tp1,0.013743854420954325,2.8495,1052.9275
2026-09-07T07:46:02.474792+00:00,sl_to_be,161,CHZUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 22:45:00,,0.01401,,,,,,,,,,,
2026-09-07T09:16:02.095030+00:00,lot_close,161,CHZUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 22:45:00,,,,,,3.0,50.0,,lot_b,sl,0.01401,-0.0,1052.9275
2026-09-07T09:16:02.524752+00:00,full_close,161,CHZUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 22:45:00,,,,,,,,,,,,,1052.9275
2026-09-07T13:01:34.845972+00:00,open,163,DOGEUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-07 12:45:00,0.09135,0.09313608251042124,0.08867087623436815,0.08599175246873628,300.0,3.0,100.0,16.669,,,,,1052.9275
2026-09-07T15:46:10.654544+00:00,lot_close,160,BNBUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,,,,,3.0,50.0,,lot_b,tp2,737.5565097968873,2.9651,1055.8926
2026-09-07T15:46:10.987773+00:00,full_close,160,BNBUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,,,,,,,,,,,,1055.8926
2026-09-07T16:01:29.511586+00:00,lot_close,163,DOGEUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-07 12:45:00,,,,,,3.0,50.0,,lot_a,tp1,0.08867087623436815,4.3992,1060.2918
2026-09-07T16:01:29.924864+00:00,sl_to_be,163,DOGEUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-07 12:45:00,,0.09135,,,,,,,,,,,
2026-09-07T16:46:11.300383+00:00,open,164,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-07 16:30:00,0.007227,0.007446775386875333,0.006897336919687001,0.006567673839374,300.0,3.0,100.0,18.12,,,,,1060.2918
2026-09-07T18:46:05.661836+00:00,open,165,CHZUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-07 18:30:00,0.01424,0.014574455571235637,0.013738316643146543,0.013236633286293086,300.0,3.0,100.0,17.163,,,,,1060.2918
2026-09-08T00:16:00.175188+00:00,lot_close,163,DOGEUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-07 12:45:00,,,,,,3.0,50.0,,lot_b,sl,0.09135,-0.0,1060.2918
2026-09-08T00:16:00.655434+00:00,full_close,163,DOGEUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-07 12:45:00,,,,,,,,,,,,,1060.2918
2026-09-08T00:46:10.309257+00:00,open,166,DOGEUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-08 00:30:00,0.0914,0.09358850304011684,0.08811724543982472,0.08483449087964945,300.0,3.0,100.0,18.187,,,,,1060.2918
2026-09-08T03:31:08.913167+00:00,open,167,BTCUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-08 03:15:00,78773.36,78126.98225878784,79742.92661181823,80712.49322363647,300.0,3.0,100.0,17.2,,,,,1060.2918
2026-09-08T07:31:09.223478+00:00,lot_close,164,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-07 16:30:00,,,,,,3.0,50.0,,lot_a,sl,0.007446775386875333,-4.5615,1055.7303
2026-09-08T07:31:09.687612+00:00,lot_close,164,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-07 16:30:00,,,,,,3.0,50.0,,lot_b,sl,0.007446775386875333,-4.5615,1051.1687
2026-09-08T07:31:10.151634+00:00,full_close,164,VETUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-07 16:30:00,,,,,,,,,,,,,1051.1687
2026-09-08T10:16:10.055624+00:00,open,168,GALAUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-08 10:00:00,0.001932,0.001982116519941745,0.0018568252200873827,0.0017816504401747654,300.0,3.0,100.0,16.058,,,,,1051.1687
2026-09-08T13:46:06.499212+00:00,lot_close,167,BTCUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-08 03:15:00,,,,,,3.0,50.0,,lot_a,sl,78126.98225878784,-1.2308,1049.9379
2026-09-08T13:46:06.850645+00:00,lot_close,167,BTCUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-08 03:15:00,,,,,,3.0,50.0,,lot_b,sl,78126.98225878784,-1.2308,1048.7071
2026-09-08T13:46:07.204785+00:00,full_close,167,BTCUSDT,Supertrend+ADX,15m,آسیا,short,long,2026-09-08 03:15:00,,,,,,,,,,,,,1048.7071
2026-09-08T13:46:11.495780+00:00,open,169,BNBUSDT,Supertrend+ADX,15m,لندن,short,long,2026-09-08 13:30:00,743.91,729.3921981608146,765.686702758778,787.4634055175561,300.0,3.0,100.0,22.534,,,,,1048.7071
2026-09-08T13:46:12.967732+00:00,lot_close,166,DOGEUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-08 00:30:00,,,,,,3.0,50.0,,lot_a,tp1,0.08811724543982472,5.3875,1054.0945
2026-09-08T13:46:13.320825+00:00,sl_to_be,166,DOGEUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-08 00:30:00,,0.0914,,,,,,,,,,,
2026-09-08T13:46:21.390852+00:00,lot_close,131,MANAUSDT,Supertrend+ADX,15m,,,long,2026-09-04 12:30:00,,,,,,1.0,50.0,,lot_b,sl,0.0743,0.0,1054.0945
